Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Category,Outlet_Age,MRP_Outlet_Combo,Visibility_MRP_Combo,outlet_item_combo,Type_Age_Outlet_combo
9.3,0,0.016047301,4,249.8092,1,0,1,3735.138,1,26,249.8092,4.0087634249692,1,26
5.92,1,0.019278216,14,48.2692,1,2,2,443.4228,0,16,96.5384,0.9305440637472,0,32
17.5,0,0.016760075,10,141.618,1,0,1,2097.27,1,26,141.618,2.37352830135,1,26
19.2,1,0.06613202877895107,6,182.095,2,2,0,732.38,1,27,0.0,12.042311780503095,0,0
8.93,0,0.06613202877895107,9,53.8614,0,2,1,994.7052,2,38,53.8614,3.561963654874595,2,0
10.395,1,0.06613202877895107,0,51.4008,1,2,2,556.6088,1,16,102.8016,3.399239184861108,2,32
13.65,1,0.012741089,13,57.6588,0,2,1,343.5528,1,38,57.6588,0.7346359024332,1,0
12.987879554655871,0,0.127469857,13,107.7622,1,2,3,4022.7636,1,40,323.2866,13.7364322240054,3,120
16.2,1,0.016687114,5,96.9726,2,1,1,1076.5986,1,23,96.9726,1.6181928310764,1,46
19.2,1,0.09444959,5,187.8214,2,1,1,4710.535,1,18,187.8214,17.739654223226,1,36
11.8,0,0.06613202877895107,6,45.5402,1,0,1,1516.0266,1,26,45.5402,3.0116658169991872,1,26
18.5,1,0.045463773,4,144.1102,2,0,1,2187.153,1,28,144.1102,6.551793419784599,1,56
15.1,1,0.1000135,6,145.4786,1,0,1,1589.2646,1,26,145.4786,14.549823961100001,1,26
17.6,1,0.047257328,13,119.6782,2,0,1,2145.2076,1,28,119.6782,5.6556719518496,1,56
16.35,0,0.0680243,6,196.4426,0,2,1,1977.426,1,38,196.4426,13.362870355179998,1,0
9.0,1,0.069088961,2,56.3614,2,0,1,1547.3192,1,28,56.3614,3.8939505665054006,1,56
11.8,0,0.008596051,8,115.3492,1,2,2,1621.8888,2,16,230.6984,0.9915476060092,4,32
9.0,1,0.069196376,2,54.3614,1,0,1,718.3982,1,26,54.3614,3.7616118742864004,1,26
11.400327868852461,0,0.034237682,7,113.2834,1,2,3,2303.668,0,40,339.8502,3.8785610250788,0,120
13.35,0,0.10249212,4,230.5352,2,1,1,2748.4224,1,21,230.5352,23.628041382624,1,42
18.85,1,0.138190277,13,250.8724,0,2,1,3775.086,1,38,250.8724,34.6681264476548,1,0
12.277108208955223,1,0.035399923,0,144.5444,1,2,3,4064.0432,1,40,433.6332,5.1168606300812,3,120
14.6,0,0.025698134,9,196.5084,2,1,1,1587.2672,2,21,196.5084,5.0498991953256,2,42
12.277108208955223,0,0.057556998,0,107.6938,2,0,0,214.3876,1,40,0.0,6.198531831212399,0,0
13.85,1,0.025896485,5,165.021,2,0,1,4078.025,1,28,165.021,4.273463851184999,1,56
13.0,0,0.099887103,9,45.906,2,1,1,838.908,2,18,45.906,4.585417350318,2,36
7.645,1,0.066693437,13,42.3112,2,1,1,1065.28,1,21,42.3112,2.8218793515944,1,42
11.65,0,0.019356132,7,39.1164,0,2,1,308.9312,0,38,39.1164,0.7571422017648001,0,0
5.925,1,0.161466534,4,45.5086,2,2,0,178.4344,1,27,0.0,7.3481159091923995,0,0
12.305705009276437,1,0.072221801,3,43.6454,2,0,0,125.8362,1,40,0.0,3.1521493933654003,0,0
19.25,0,0.170348551,4,55.7956,2,2,0,163.7868,1,27,0.0,9.5046996121756,0,0
18.6,0,0.080829372,8,96.4436,1,2,2,2741.7644,2,16,192.8872,7.7954756214192,4,32
18.7,0,0.06613202877895107,13,256.6672,1,2,2,3068.0064,1,16,513.3344,16.97392265701279,2,32
17.85,0,0.06613202877895107,1,93.1436,2,1,1,2174.5028,1,23,93.1436,6.159775235775107,1,46
17.5,0,0.097904029,14,174.8738,2,0,1,2085.2856,0,28,174.8738,17.1208495865402,0,56
10.0,0,0.089291137,8,146.7102,1,0,1,3791.0652,2,26,146.7102,13.0999205674974,2,26
13.224769381746812,1,0.059511812,6,128.0678,1,2,3,2797.6916,1,40,384.2034,7.6215468368536,3,120
8.85,1,0.113123893,14,122.5388,1,2,2,1609.9044,0,16,245.0776,13.8620660995484,0,32
12.987879554655871,1,0.123111453,13,36.9874,1,2,3,388.1614,1,40,110.9622,4.5535725566922,3,120
12.987879554655871,0,0.026480954,13,87.6198,1,2,3,2180.495,1,40,262.8594,2.3202558932892,3,120
13.35,0,0.102511504,4,230.6352,2,0,1,3435.528,1,28,230.6352,23.6427612273408,1,56
9.8,0,0.02681843,10,126.002,0,2,1,2150.534,1,38,126.002,3.37917581686,1,0
13.6,0,0.117818348,13,192.9136,1,0,1,2527.3768,1,26,192.9136,22.7287616587328,1,26
21.35,0,0.069102831,3,259.9278,1,2,2,6501.8699,1,16,519.8556,17.9617468356018,2,32
12.15,1,0.042277867,3,126.5046,0,2,1,373.5138,1,38,126.5046,5.3483446536882,1,0
6.42,0,0.089498926,4,178.1002,2,2,0,358.2004,1,27,0.0,15.939776620385201,0,0
19.6,0,0.06613202877895107,8,153.3024,2,1,1,2428.8384,2,23,153.3024,10.138198728682267,2,46
10.0,0,0.025879577,3,265.2226,2,1,1,5815.0972,1,23,265.2226,6.8638486988402,1,46
15.85,1,0.121632721,0,60.622,2,0,1,2576.646,1,28,60.622,7.373618812462,1,56
13.42606890459364,1,0.255394896,4,196.8794,2,0,0,780.3176,1,40,0.0,50.2819938875424,0,0
7.39,0,0.067779712,8,143.8812,2,0,1,3134.5864,2,28,143.8812,9.752226298214401,2,56
10.195,0,0.159803853,5,141.5154,0,2,1,850.8924,1,38,141.5154,22.6147061788362,1,0
9.895,1,0.028696932,3,117.0492,0,2,1,810.9444,1,38,117.0492,3.3589529330544003,1,0
10.895,0,0.065041581,6,196.3794,2,1,1,3121.2704,1,18,196.3794,12.7728266518314,1,36
12.15,0,0.028760013,9,151.4708,2,1,1,4815.0656,2,18,151.4708,4.3563021771204005,2,36
7.905,0,0.010053105,13,249.0408,1,2,2,6258.52,1,16,498.0816,2.5036333116839997,2,32
9.195,0,0.048157338,9,106.1622,2,1,1,2117.244,2,23,106.1622,5.1124889482236,2,46
8.365,0,0.071958197,7,38.0506,1,0,1,796.9626,0,26,38.0506,2.7380525707682004,0,26
15.1,0,0.173481304,13,194.511,2,0,1,4910.275,1,28,194.511,33.744021922344,1,56
12.305705009276437,0,0.061082177,3,180.0344,2,0,0,892.172,1,40,0.0,10.9968930868888,0,0
10.0,0,0.06613202877895107,6,246.9144,1,2,2,3185.1872,1,16,493.8288,16.328950206737435,2,32
7.97,1,0.040071131,10,87.3514,2,1,1,1062.6168,1,23,87.3514,3.5002693924334003,1,46
13.224769381746812,0,0.012090074,6,38.2848,1,2,3,484.7024,1,40,114.8544,0.46286606507519995,3,120
12.867061281337046,1,0.15028599,5,51.0692,2,0,0,147.8076,1,40,0.0,7.674985280508,0,0
12.987879554655871,0,0.026015519,13,255.8356,1,2,3,2543.356,1,40,767.5068,6.6556959126764,3,120
